precinct,ward,HVAP_pct,WVAP_pct,BVAP_pct,GARCIA_G15_pct,EMAN_G15_pct,normalized_log_area,WARD,PRECINCT,normalized_centroid_x,normalized_centroid_y,uninsured_pct,female_pct,veteran_pct
2.0,7.0,0.017123288,0.010273973,0.957191781,0.174061433,0.450511945,0.396897272,7.0,2.0,0.853680719,0.307908868,0.125458161,0.664969578,0.058042519
1.0,37.0,0.02238806,0.041577825,0.929637527,0.468085106,0.429787234,0.438142346,37.0,1.0,0.372805391,0.633720702,0.095997717,0.50251438,0.018714672
13.0,17.0,0.001913876,0.012440191,0.974162679,0.459183673,0.37755102,0.530561371,17.0,13.0,0.653813178,0.329642203,0.152066373,0.518902054,0.061815833
36.0,29.0,0.104155909,0.009785778,0.87061004,0.372222222,0.433333333,0.547257659,29.0,36.0,0.350487142,0.710794634,0.178901332,0.48238181,0.038359155
41.0,44.0,0.065874729,0.77105832,0.063714902,0.216535433,0.578740157,0.304822509,44.0,41.0,0.68996894,0.762352837,0.018094838,0.553594394,0.016978116
20.0,41.0,0.110582641,0.819262781,0.004756242,0.184615385,0.665384615,0.543198832,41.0,20.0,0.240007592,0.909030259,0.001048785,0.563278479,0.05029031
12.0,49.0,0.109264857,0.608257734,0.182275947,0.285714286,0.336734694,0.419193152,49.0,12.0,0.630766915,0.947390458,0.156217115,0.519635513,0.018410225
11.0,25.0,0.83674818,0.133509585,0.015862525,0.521568627,0.4,0.479217196,25.0,11.0,0.604576405,0.55684976,0.225768162,0.49385298,0.010512644
10.0,17.0,0.019252548,0.003397509,0.975084937,0.554347826,0.413043478,0.459096871,17.0,10.0,0.68205423,0.269178974,0.070013889,0.565586515,0.092341076
21.0,48.0,0.20698748,0.323005939,0.277521408,0.285714286,0.43956044,0.399650191,48.0,21.0,0.647307032,0.872976494,0.231411498,0.432394724,0.00330314
13.0,25.0,0.884996695,0.101123595,0.009914078,0.554347826,0.342391304,0.413647824,25.0,13.0,0.621579092,0.547707968,0.399209486,0.493768801,0.015900301
3.0,49.0,0.429359055,0.333563066,0.151619573,0.27755102,0.440816327,0.471477468,49.0,3.0,0.599580985,0.967874419,0.184799109,0.50752255,0.025312148
20.0,3.0,0.011033099,0.018054162,0.944834504,0.443478261,0.473913043,0.478025905,3.0,20.0,0.750429621,0.460742698,0.12924382,0.641626996,0.080123176
32.0,41.0,0.096510889,0.859043122,0.005079501,0.46875,0.330357143,0.632146933,41.0,32.0,0.317647772,0.937691586,0.026197827,0.539448474,0.039331956
18.0,5.0,0.098104791,0.279821641,0.525083601,0.698275862,0.232758621,0.366295672,5.0,18.0,0.84001933,0.400980463,0.08754563,0.567476715,0.060387809
22.0,12.0,0.9417735,0.034722225,0.020833335,0.525510204,0.37244898,0.419277476,12.0,22.0,0.535538035,0.532820264,0.375567426,0.52105038,0.005178222
1.0,7.0,0.010230179,0.002557545,0.979539642,0.219354839,0.406451613,0.433961453,7.0,1.0,0.841287824,0.305060145,0.096294761,0.601021097,0.052527241
15.0,4.0,0.019260404,0.053929124,0.889830505,0.350574713,0.433908046,0.418658548,4.0,15.0,0.799918616,0.430676698,0.087976816,0.581255724,0.06971268
30.0,5.0,0.019874477,0.006276151,0.95083682,0.225988701,0.497175141,0.631394703,5.0,30.0,0.810789654,0.321171096,0.104481218,0.64219116,0.044062896
41.0,27.0,0.048309179,0.04589372,0.86352657,0.386792453,0.399371069,0.425417493,27.0,41.0,0.593610644,0.606617835,0.093576527,0.616615854,0.043445122
14.0,30.0,0.795489889,0.155520997,0.01866252,0.329268293,0.420731707,0.420103806,30.0,14.0,0.368934588,0.749428967,0.295358636,0.501204081,0.023481662
26.0,37.0,0.215962443,0.02629108,0.725821595,0.378995434,0.497716895,0.528086039,37.0,26.0,0.376043361,0.711822517,0.140339373,0.559013689,0.012428633
32.0,48.0,0.131561462,0.489036545,0.26910299,0.191489362,0.404255319,0.347153184,48.0,32.0,0.644421715,0.923089527,0.125267347,0.44400101,0.012149671
37.0,4.0,0.047358835,0.65118397,0.146630237,0.394366197,0.455399061,0.384882197,4.0,37.0,0.722139973,0.589301113,0.004524887,0.51862165,0.037939436
22.0,25.0,0.84083045,0.116955017,0.021453287,0.680933852,0.237354086,0.412944247,25.0,22.0,0.608198985,0.547426352,0.214670732,0.501594041,0.009193076
41.0,2.0,0.041525842,0.854176722,0.039594398,0.709677419,0.235023041,0.367606892,2.0,41.0,0.712829414,0.665943397,0.034203302,0.531609659,0.007311216
27.0,49.0,0.115664243,0.364838072,0.357567745,0.199170124,0.460580913,0.389591438,49.0,27.0,0.630776256,0.971695582,0.165550822,0.454764777,0.032569361
1.0,11.0,0.192880797,0.413907287,0.070364238,0.263565891,0.368217054,0.556985775,11.0,1.0,0.647080492,0.520194987,0.135741399,0.46757862,0.012770506
36.0,4.0,0.019195612,0.04570384,0.818098711,0.436681223,0.358078603,0.469659609,4.0,36.0,0.759506608,0.491024185,0.052118793,0.512152728,0.100518279
8.0,7.0,0.008130081,0.037166086,0.919860627,0.431034483,0.310344828,0.363902813,7.0,8.0,0.907944797,0.301311626,0.128161889,0.570701933,0.049847406
33.0,42.0,0.063328372,0.692930858,0.094256197,0.375,0.50625,0.636160692,42.0,33.0,0.74377578,0.615630751,0.0741947,0.50875144,0.012488709
4.0,10.0,0.509222134,0.0521251,0.424218123,0.190045249,0.447963801,0.686817264,10.0,4.0,0.967728328,0.241488365,0.236142711,0.490203962,0.050454569
40.0,37.0,0.056804734,0.004733728,0.930177515,0.441860465,0.468992248,0.450116785,37.0,40.0,0.394494025,0.681620904,0.102080553,0.577396097,0.04225569
31.0,43.0,0.105084743,0.770338987,0.073728812,0.187096774,0.44516129,0.391103239,43.0,31.0,0.655193878,0.750507494,0.025930802,0.470287697,0.032764635
41.0,8.0,0.008421053,0.001052632,0.969473683,0.441176471,0.395424837,0.434140076,8.0,41.0,0.802351693,0.244102869,0.160793708,0.478021986,0.072190111
11.0,29.0,0.009523809,0.011428571,0.967619048,0.261111111,0.627777778,0.408781384,29.0,11.0,0.359992562,0.631971389,0.221121386,0.608927153,0.026547452
2.0,37.0,0.531573993,0.020735156,0.443920822,0.276497696,0.580645161,0.541687102,37.0,2.0,0.439455874,0.685066574,0.314116627,0.438259209,0.047485075
24.0,5.0,0.072452832,0.483773579,0.272452838,0.298969072,0.365979381,0.414587455,5.0,24.0,0.832051336,0.397510837,0.098912138,0.468941371,0.016828039
2.0,33.0,0.4255698,0.320512821,0.044159544,0.188073394,0.688073394,0.464214957,33.0,2.0,0.508763495,0.860687145,0.196579722,0.52430608,0.001010425
